id,attributeId,value,isSystem,isActive
val-socket-am4,attr-cpu-socket,AM4,true,true
val-socket-am5,attr-cpu-socket,AM5,true,true
val-socket-lga1200,attr-cpu-socket,LGA1200,true,true
val-socket-lga1700,attr-cpu-socket,LGA1700,true,true
val-ram-ddr3,attr-ram-type,DDR3,true,true
val-ram-ddr4,attr-ram-type,DDR4,true,true
val-ram-ddr5,attr-ram-type,DDR5,true,true
val-cap-8gb,attr-ram-cap,8GB,true,true
val-cap-16gb,attr-ram-cap,16GB,true,true
val-cap-32gb,attr-ram-cap,32GB,true,true
val-cap-64gb,attr-ram-cap,64GB,true,true
val-cap-128gb,attr-ram-cap,128GB,true,true
val-storage-128gb,attr-storage-cap,128GB,true,true
val-storage-256gb,attr-storage-cap,256GB,true,true
val-storage-512gb,attr-storage-cap,512GB,true,true
val-storage-1tb,attr-storage-cap,1TB,true,true
val-storage-2tb,attr-storage-cap,2TB,true,true
val-storage-4tb,attr-storage-cap,4TB,true,true
val-rr-60hz,attr-refresh-rate,60Hz,true,true
val-rr-75hz,attr-refresh-rate,75Hz,true,true
val-rr-120hz,attr-refresh-rate,120Hz,true,true
val-rr-144hz,attr-refresh-rate,144Hz,true,true
val-rr-165hz,attr-refresh-rate,165Hz,true,true
val-rr-240hz,attr-refresh-rate,240Hz,true,true
val-color-black,attr-color,Black,true,true
val-color-white,attr-color,White,true,true
val-color-silver,attr-color,Silver,true,true
val-color-grey,attr-color,Space Grey,true,true
val-color-blue,attr-color,Blue,true,true
val-color-red,attr-color,Red,true,true
